,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Pypi.org'}",,pyeasyequities added to PyPI,Unofficial Easy Equities and Satrix Python Client,https://pypi.org/project/pyeasyequities/,https://pypi.org/static/images/twitter.abaf4b19.webp,2026-06-28T05:55:29Z,"Unofficial Python client for Easy Equities and Satrix. Intended for personal use.
Supports Python 3.8+.
PyPI
Installation
pip install pyeasyequities
Features
Accounts
<ul><li>List accounts: cl… [+4867 chars]"
1,"{'id': None, 'name': 'Github.com'}",darndt,"ripienaar/free-for-dev: A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev","A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev - ripienaar/free-for-dev",https://github.com/ripienaar/free-for-dev#major-cloud-providers,https://opengraph.githubassets.com/45646f605dc6e9f681cffa961bb660b1e882f3dc085d30f4e07fdbc97a79cd90/ripienaar/free-for-dev,2026-06-28T05:47:01Z,"Developers and Open Source authors now have many services offering free tiers, but finding them all takes time to make informed decisions.
This is a list of software (SaaS, PaaS, IaaS, etc.) and oth… [+199222 chars]"
2,"{'id': 'hacker-news', 'name': 'Hacker News'}",cwilkes,The Doorman's Fallacy in action | Hacker News,,https://news.ycombinator.com/item?id=48678495,,2026-06-28T05:47:01Z,"You make some good points but some are, excuse me, cringey-wrong.&gt; physical menus are hard to update
How often does a restaurant update a menu? Those that need to update frequently already solved… [+3056 chars]"
3,"{'id': None, 'name': 'Biztoc.com'}",notateslaapp.com,Tesla Releases Q2 2026 Analyst Delivery Consensus,"Tesla has released its official delivery consensus again for Q2 2026. Tesla’s Investor Relations team gathers the 21 analyst delivery estimates and builds a consensus to present to investors ahead of the actual numbers, which will be published next week.
The …",https://biztoc.com/x/9abf0468fa950679,https://biztoc.com/cdn/9abf0468fa950679_s.webp,2026-06-28T05:20:45Z,Tesla has released its official delivery consensus again for Q2 2026. Teslas Investor Relations team gathers the 21 analyst delivery estimates and builds a consensus to present to investors ahead of … [+156 chars]
4,"{'id': None, 'name': 'Korrespondent.net'}",1,Війна на Близькому Сході. Онлайн,США та Ізраїль проводять масштабну операцію проти Ірану. Тегеран у відповідь атакує військові об'єкти США майже у всіх країнах Перської затоки.,https://ua.korrespondent.net/world/4858866/,,2026-06-28T05:15:00Z,". ' .
 28 2026 ' . () ().  . 
. . "" "" .
 : 
28  
5.34 ' . CNN, Press TV.
4.35 "" ""   Truth Social .
1.47 . (CENTCOM) .
C CENTCOM 27 .
27 
21.15 .   Reuters. , "" "", , .
19.10 , . , Bloomberg… [+45502 chars]"
5,"{'id': None, 'name': 'Novinky.cz'}",Monika Kuncová,Po stopách Marie Curie v jáchymovském podzemí,"Psal se červen 1925 a Jáchymovem procházela důstojná dáma v dlouhém černém kabátu, sahajícím až ke kotníkům. Do očí jí nebylo vidět přes tmavý klobouk a brýle s kulatými obroučkami. Jen výrazná linie lícních kostí a rozhodná ústa prozrazovaly, že město navští…",https://www.novinky.cz/clanek/historie-po-stopach-marie-curie-v-jachymovskem-podzemi-40584104,"https://d15-a.sdn.cz/d_15/c_img_qC_A/nO2CysqjGrCP7qOQhGHB0uHq/347c/marie-curie.jpeg?fl=cro,0,0,1280,720%7Cres,1200,,1%7Cwebp,75",2026-06-28T05:04:00Z,Pro práv Jáchymov? Z odpadu tamní továrny na výrobu uranových barev izolovala spolu s manelem Pierrem v roce 1898 dva do té doby neznámé radioaktivní prvky: polonium a radium. V malé kln uprosted Paí… [+11467 chars]
6,"{'id': None, 'name': 'Ixbt.com'}",Jin,Выкупить автопилот Tesla больше не получится: систему Full Self-Driving переводят на модель подписки по всему миру,С 30 июня,https://www.ixbt.com/news/2026/06/28/tesla-full-self-driving.html,https://media.ixbt.site/1600x900/smart/https://www.ixbt.com/img/n1/news/2026/5/0/image%20-%202026-06-28T080344.419_large.jpg,2026-06-28T04:56:00Z,"Tesla (FSD), . 
 , , FSD 30 , .
 54 000 ( 6700 ), 55 700 ( 6900 ) 222 000 ( 6900 ) .
 , Tesla Full Self-Driving (FSD) 14 , . , (FSD) , Tesla . 99 ( 99 ) .
Tesla Full Self-Driving (FSD) Tesla , , … [+16 chars]"
7,"{'id': None, 'name': '3dnews.ru'}",,Apple и SpaceX получат возможность протестировать технологию Intel 14A этой осенью,"Вскоре после заключения соглашения о сотрудничестве с Intel, возглавляющий SpaceX и Tesla Илон Маск (Elon Musk) заявил, что будущее совместное предприятие Terafab как раз будет использовать перспективную технологию Intel 14A для выпуска чипов. Как стало извес…",https://3dnews.ru/1144245/apple-i-spacex-poluchat-vozmognost-protestirovat-tehnologiyu-intel-14a-etoy-osenyu,https://cdn.3dnews.ru/assets/external/illustrations/2026/06/28/1144245/14A_01.jpg,2026-06-28T04:48:00Z,"Intel, SpaceX Tesla (Elon Musk) , Terafab Intel 14A . The New York Times, SpaceX, Apple.
: ASML
, Intel Nvidia, $5 , SpaceX Tesla. Intel Google Apple , The New York Times , Intel Apple , , Apple .… [+189 chars]"
8,"{'id': None, 'name': 'Biztoc.com'}",electrek.co,"Q2 2026 delivery consensus: 406,000 vehicles expected","Tesla released its company-compiled delivery consensus for the second quarter of 2026, and Wall Street analysts now expect the automaker to deliver 406,024 vehicles.
That would be just 5.7% growth over the 384,122 vehicles Tesla delivered in Q2 2025 — a modes…",https://biztoc.com/x/f2e9a6288a6c48d7,https://biztoc.com/cdn/f2e9a6288a6c48d7_s.webp,2026-06-28T04:35:20Z,"Tesla released its company-compiled delivery consensus for the second quarter of 2026, and Wall Street analysts now expect the automaker to deliver 406,024 vehicles.That would be just 5.7% growth ove… [+150 chars]"
9,"{'id': None, 'name': 'Onliner.by'}",Onliner,"Изгой-заучка, выскочка или гений? Начало истории Илона Маска, «придумавшего» SpaceX и Tesla (Истории)","Илон Маск — выскочка. Илон Маск — гений. Илон Маск — просто талантливый менеджер. У кого-то он вызывает зависть, другие хотят походить на него. Все как обычно, когда речь идет об известном и успешном человеке. Мало кто помнит, где истоки, в чем правда, а в че…",https://tech.onliner.by/2026/06/28/elon-musk-4,https://content.onliner.by/news/1400x5616/8da7f81b4992b3c13a98ab9489b62481.jpeg,2026-06-28T04:00:20Z,". . . - , . , . , , , : , 1990- 2000-, - . , , « ».
, 28 1971 . 55, .   , , -. , , 1979 .
 2015 , , Fortune. - , , . « -», . , .
, , . . , , , , , , -. , , , . , .
 910 Commodore VIC-20 , . . 12 … [+2358 chars]"
